# Live structured-log sample: domain events during a real burst run

Captured 2026-09-12 via the Render API's log endpoint immediately after running
`./burst.sh https://wallet-transfer-8e1o.onrender.com burst-token` (Probe 3: 300 concurrent
transfers across 5 wallets) against the live deployed app. This is the tail of Render's
retained log history (its most recent ~100 lines), reformatted to show just the domain-event
message and correlation id per line — see docs/writeup.md and PROGRESS.md for the full
burst-run results and the fixes that got the deployment to a clean PASS.

Render doesn't offer a public/shareable log URL the way the original plan assumed (its "Log
Streams" feature forwards to a third-party provider like Datadog, not a public link) — its
dashboard logs require login the same as Fly's did. This committed transcript is the substitute:
real logs, publicly readable via the repo, just not a live-watchable stream.

Format: <timestamp>  <domain event>  [correlation_id=<id>]
2026-09-12T12:07:51.146521846Z  transfer.created transfer_id=3229 idempotency_key=burst-cons-7503b3bd-eb14-4696-99b4-6cea94c80042 from_wallet=571 to_wallet=568 amount_paise=28768  [correlation_id=f0730df9-0fa9-4540-91be-e96835b7ba0f]
2026-09-12T12:07:51.146853584Z  transfer.created transfer_id=3230 idempotency_key=burst-cons-9366b6a5-9753-4781-ac82-c3d13e6f8a1c from_wallet=570 to_wallet=567 amount_paise=10299  [correlation_id=e1d7254f-c07f-44e3-bb27-62b2881881a4]
2026-09-12T12:07:51.14713534Z  transfer.declined_insufficient_funds transfer_id=3218  [correlation_id=75a215bc-ebab-4751-9f09-4e2821eb111a]
2026-09-12T12:07:51.24240641Z  transfer.credited transfer_id=3230 wallet=567 balance_after=60346  [correlation_id=e1d7254f-c07f-44e3-bb27-62b2881881a4]
2026-09-12T12:07:51.24295096Z  transfer.declined_insufficient_funds transfer_id=3228  [correlation_id=9ebeeb4e-f869-4a55-899e-c5d1a0ad639b]
2026-09-12T12:07:51.243753624Z  transfer.created transfer_id=3231 idempotency_key=burst-cons-45957245-c782-4140-af62-cd8769bff1cb from_wallet=571 to_wallet=567 amount_paise=9207  [correlation_id=646ead14-d3ca-4f6f-9296-641366278483]
2026-09-12T12:07:51.243918693Z  transfer.debited transfer_id=3230 wallet=570 balance_after=86072  [correlation_id=e1d7254f-c07f-44e3-bb27-62b2881881a4]
2026-09-12T12:07:51.245720322Z  transfer.credited transfer_id=3229 wallet=568 balance_after=57369  [correlation_id=f0730df9-0fa9-4540-91be-e96835b7ba0f]
2026-09-12T12:07:51.247202103Z  transfer.declined_insufficient_funds transfer_id=3229  [correlation_id=f0730df9-0fa9-4540-91be-e96835b7ba0f]
2026-09-12T12:07:51.247309389Z  transfer.created transfer_id=3232 idempotency_key=burst-cons-51799857-d08f-4b68-a5a2-5301de337461 from_wallet=571 to_wallet=567 amount_paise=27636  [correlation_id=64b1ab72-46d8-4003-8026-64b86ffb5e3b]
2026-09-12T12:07:51.249333259Z  transfer.debited transfer_id=3221 wallet=567 balance_after=24766  [correlation_id=2cc544ba-ec55-466d-968d-4d8c8e672634]
2026-09-12T12:07:51.249832627Z  transfer.credited transfer_id=3221 wallet=570 balance_after=121652  [correlation_id=2cc544ba-ec55-466d-968d-4d8c8e672634]
2026-09-12T12:07:51.252981469Z  transfer.credited transfer_id=3231 wallet=567 balance_after=33973  [correlation_id=646ead14-d3ca-4f6f-9296-641366278483]
2026-09-12T12:07:51.344574778Z  transfer.created transfer_id=3233 idempotency_key=burst-cons-7cd8ea75-2c0d-4ca7-9505-664b6ec47679 from_wallet=568 to_wallet=569 amount_paise=35430  [correlation_id=a379e1bb-e1a6-4800-8694-ba929622669e]
2026-09-12T12:07:51.345643847Z  transfer.created transfer_id=3234 idempotency_key=burst-cons-08057fc7-8671-4687-b1d5-c9ccd6064d6c from_wallet=571 to_wallet=567 amount_paise=26148  [correlation_id=6104571e-e5d7-4441-8f52-3d4a7cb582b0]
2026-09-12T12:07:51.345715891Z  transfer.declined_insufficient_funds transfer_id=3233  [correlation_id=a379e1bb-e1a6-4800-8694-ba929622669e]
2026-09-12T12:07:51.345909101Z  transfer.declined_insufficient_funds transfer_id=3231  [correlation_id=646ead14-d3ca-4f6f-9296-641366278483]
2026-09-12T12:07:51.346052309Z  transfer.created transfer_id=3235 idempotency_key=burst-cons-8ffd0e78-22e2-4c43-9669-4b2b2b151328 from_wallet=568 to_wallet=567 amount_paise=221  [correlation_id=1dfa4f25-79cc-4a11-9037-bde12ce10918]
2026-09-12T12:07:51.348652881Z  transfer.created transfer_id=3236 idempotency_key=burst-cons-001c9747-40dd-4895-a699-b3c7e217289e from_wallet=568 to_wallet=567 amount_paise=23391  [correlation_id=f9f895de-7fe4-4a31-895b-8f7ef92ee5a3]
2026-09-12T12:07:51.350133352Z  transfer.credited transfer_id=3235 wallet=567 balance_after=24987  [correlation_id=1dfa4f25-79cc-4a11-9037-bde12ce10918]
2026-09-12T12:07:51.350573026Z  transfer.debited transfer_id=3235 wallet=568 balance_after=28380  [correlation_id=1dfa4f25-79cc-4a11-9037-bde12ce10918]
2026-09-12T12:07:51.442265691Z  transfer.created transfer_id=3237 idempotency_key=burst-cons-f0acd67e-5e1c-4fc4-8fb0-6cb6db4ad2c5 from_wallet=567 to_wallet=569 amount_paise=14998  [correlation_id=555443e5-18c1-445f-bd50-36b62f152627]
2026-09-12T12:07:51.443166581Z  transfer.credited transfer_id=3226 wallet=567 balance_after=25296  [correlation_id=b5fec222-6994-43be-b461-8be86c7c91fc]
2026-09-12T12:07:51.443681538Z  transfer.debited transfer_id=3226 wallet=570 balance_after=121343  [correlation_id=b5fec222-6994-43be-b461-8be86c7c91fc]
2026-09-12T12:07:51.446961528Z  transfer.created transfer_id=3238 idempotency_key=burst-cons-94edd504-0acf-44bd-a26a-03383319b6f5 from_wallet=568 to_wallet=570 amount_paise=35147  [correlation_id=46bfb167-1c96-41d2-8434-91b1d6e8110d]
2026-09-12T12:07:51.448723354Z  transfer.debited transfer_id=3237 wallet=567 balance_after=10298  [correlation_id=555443e5-18c1-445f-bd50-36b62f152627]
2026-09-12T12:07:51.44918585Z  transfer.credited transfer_id=3237 wallet=569 balance_after=94065  [correlation_id=555443e5-18c1-445f-bd50-36b62f152627]
2026-09-12T12:07:51.450676211Z  transfer.declined_insufficient_funds transfer_id=3238  [correlation_id=46bfb167-1c96-41d2-8434-91b1d6e8110d]
2026-09-12T12:07:51.451542319Z  transfer.credited transfer_id=3234 wallet=567 balance_after=36446  [correlation_id=6104571e-e5d7-4441-8f52-3d4a7cb582b0]
2026-09-12T12:07:51.453624432Z  transfer.declined_insufficient_funds transfer_id=3234  [correlation_id=6104571e-e5d7-4441-8f52-3d4a7cb582b0]
2026-09-12T12:07:51.45815158Z  transfer.credited transfer_id=3236 wallet=567 balance_after=33689  [correlation_id=f9f895de-7fe4-4a31-895b-8f7ef92ee5a3]
2026-09-12T12:07:51.458753283Z  transfer.debited transfer_id=3236 wallet=568 balance_after=4989  [correlation_id=f9f895de-7fe4-4a31-895b-8f7ef92ee5a3]
2026-09-12T12:07:51.543403692Z  transfer.created transfer_id=3239 idempotency_key=burst-cons-b34e705d-5601-4ce4-98a8-5858ba3662a8 from_wallet=568 to_wallet=571 amount_paise=38926  [correlation_id=52b11f15-1d85-48ce-a708-96326fc0165c]
2026-09-12T12:07:51.544509173Z  transfer.declined_insufficient_funds transfer_id=3239  [correlation_id=52b11f15-1d85-48ce-a708-96326fc0165c]
2026-09-12T12:07:51.545892459Z  transfer.created transfer_id=3241 idempotency_key=burst-cons-86671934-9588-4fc5-b496-75b0361b1d40 from_wallet=570 to_wallet=567 amount_paise=6464  [correlation_id=77b185d4-ecbe-4ede-b15d-7bea58f7feb8]
2026-09-12T12:07:51.54592869Z  transfer.credited transfer_id=3224 wallet=567 balance_after=64518  [correlation_id=db4d2b94-93d6-4c3f-8187-73a0ad187a9a]
2026-09-12T12:07:51.54755667Z  transfer.created transfer_id=3242 idempotency_key=burst-cons-579a2d8f-fca6-4839-9f1c-2bdb5eb1be39 from_wallet=567 to_wallet=568 amount_paise=36118  [correlation_id=3d9459b7-647a-4f56-8d76-0a0d905018d5]
2026-09-12T12:07:51.548920024Z  transfer.declined_insufficient_funds transfer_id=3242  [correlation_id=3d9459b7-647a-4f56-8d76-0a0d905018d5]
2026-09-12T12:07:51.549863526Z  transfer.declined_insufficient_funds transfer_id=3224  [correlation_id=db4d2b94-93d6-4c3f-8187-73a0ad187a9a]
2026-09-12T12:07:51.551621462Z  transfer.credited transfer_id=3227 wallet=567 balance_after=70589  [correlation_id=17ea1447-9401-4b5c-8927-43b2e5f0abc5]
2026-09-12T12:07:51.552238056Z  transfer.debited transfer_id=3227 wallet=570 balance_after=84443  [correlation_id=17ea1447-9401-4b5c-8927-43b2e5f0abc5]
2026-09-12T12:07:51.552580044Z  transfer.created transfer_id=3243 idempotency_key=burst-cons-51f542fd-7125-4f88-941c-e2938a1f794b from_wallet=571 to_wallet=569 amount_paise=20953  [correlation_id=8b63b4b7-96b6-4648-b8bf-cd98edb2453d]
2026-09-12T12:07:51.641464035Z  transfer.created transfer_id=3244 idempotency_key=burst-cons-3ccc79e6-bf18-455a-b1cd-b9dfaa798a87 from_wallet=570 to_wallet=571 amount_paise=26185  [correlation_id=dab49a1c-d7f0-4d83-8db0-201b6f327941]
2026-09-12T12:07:51.641601543Z  transfer.credited transfer_id=3243 wallet=569 balance_after=115018  [correlation_id=8b63b4b7-96b6-4648-b8bf-cd98edb2453d]
2026-09-12T12:07:51.544539245Z  transfer.created transfer_id=3240 idempotency_key=burst-cons-c78856e0-a9de-4331-95ef-ae99d5c90fe9 from_wallet=567 to_wallet=568 amount_paise=33711  [correlation_id=73578b8a-0ea9-40bf-8633-2813e8239ae3]
2026-09-12T12:07:51.65177645Z  transfer.created transfer_id=3245 idempotency_key=burst-cons-27a5a898-c1ee-4449-9c83-b34eac61b8e5 from_wallet=567 to_wallet=569 amount_paise=11334  [correlation_id=d48c7dd8-30c3-46cf-8e51-c5c1cfb058cd]
2026-09-12T12:07:51.65306243Z  transfer.declined_insufficient_funds transfer_id=3240  [correlation_id=73578b8a-0ea9-40bf-8633-2813e8239ae3]
2026-09-12T12:07:51.653217658Z  transfer.created transfer_id=3246 idempotency_key=burst-cons-e474a8fd-bd22-4db3-bcf4-2f5781b8e3b3 from_wallet=567 to_wallet=571 amount_paise=34160  [correlation_id=cd8b6067-9a2f-418f-b91f-0f1703586870]
2026-09-12T12:07:51.668622501Z  transfer.debited transfer_id=3245 wallet=567 balance_after=59255  [correlation_id=d48c7dd8-30c3-46cf-8e51-c5c1cfb058cd]
2026-09-12T12:07:51.714831888Z  transfer.declined_insufficient_funds transfer_id=3243  [correlation_id=8b63b4b7-96b6-4648-b8bf-cd98edb2453d]
2026-09-12T12:07:51.715186147Z  transfer.debited transfer_id=3244 wallet=570 balance_after=58258  [correlation_id=dab49a1c-d7f0-4d83-8db0-201b6f327941]
2026-09-12T12:07:51.715707336Z  transfer.credited transfer_id=3244 wallet=571 balance_after=27099  [correlation_id=dab49a1c-d7f0-4d83-8db0-201b6f327941]
2026-09-12T12:07:51.729385024Z  transfer.credited transfer_id=3245 wallet=569 balance_after=105399  [correlation_id=d48c7dd8-30c3-46cf-8e51-c5c1cfb058cd]
2026-09-12T12:07:51.815505744Z  transfer.created transfer_id=3247 idempotency_key=burst-cons-cf793a05-9640-4231-83ef-4921dd2b179f from_wallet=568 to_wallet=569 amount_paise=12665  [correlation_id=9e4a9878-dda9-414c-b246-c2e4be929c95]
2026-09-12T12:07:51.817050629Z  transfer.created transfer_id=3248 idempotency_key=burst-cons-f60ad662-81c5-4d3d-98da-b0048fe04342 from_wallet=571 to_wallet=570 amount_paise=18733  [correlation_id=d989ec60-4d5e-4992-b838-e7dd2da1f724]
2026-09-12T12:07:51.818148119Z  transfer.created transfer_id=3249 idempotency_key=burst-cons-00c5da73-704f-430f-bce3-a998e279517a from_wallet=570 to_wallet=567 amount_paise=38404  [correlation_id=fb02ad61-39ea-4051-a8a4-88786f531d6b]
2026-09-12T12:07:51.819235208Z  transfer.declined_insufficient_funds transfer_id=3247  [correlation_id=9e4a9878-dda9-414c-b246-c2e4be929c95]
2026-09-12T12:07:51.819406867Z  transfer.credited transfer_id=3248 wallet=570 balance_after=76991  [correlation_id=d989ec60-4d5e-4992-b838-e7dd2da1f724]
2026-09-12T12:07:51.822407662Z  transfer.debited transfer_id=3248 wallet=571 balance_after=8366  [correlation_id=d989ec60-4d5e-4992-b838-e7dd2da1f724]
2026-09-12T12:07:51.822808044Z  transfer.credited transfer_id=3241 wallet=567 balance_after=65719  [correlation_id=77b185d4-ecbe-4ede-b15d-7bea58f7feb8]
2026-09-12T12:07:51.924870395Z  transfer.debited transfer_id=3241 wallet=570 balance_after=70527  [correlation_id=77b185d4-ecbe-4ede-b15d-7bea58f7feb8]
2026-09-12T12:07:52.041526466Z  transfer.credited transfer_id=3249 wallet=567 balance_after=104123  [correlation_id=fb02ad61-39ea-4051-a8a4-88786f531d6b]
2026-09-12T12:07:52.042234584Z  transfer.debited transfer_id=3249 wallet=570 balance_after=32123  [correlation_id=fb02ad61-39ea-4051-a8a4-88786f531d6b]
2026-09-12T12:07:52.117597656Z  transfer.credited transfer_id=3232 wallet=567 balance_after=131759  [correlation_id=64b1ab72-46d8-4003-8026-64b86ffb5e3b]
2026-09-12T12:07:52.141980339Z  transfer.declined_insufficient_funds transfer_id=3232  [correlation_id=64b1ab72-46d8-4003-8026-64b86ffb5e3b]
2026-09-12T12:07:52.215539692Z  transfer.credited transfer_id=3207 wallet=567 balance_after=107922  [correlation_id=8b6ff546-70a0-439c-b3b4-019b92981ffb]
2026-09-12T12:07:52.216347107Z  transfer.debited transfer_id=3207 wallet=570 balance_after=28324  [correlation_id=8b6ff546-70a0-439c-b3b4-019b92981ffb]
2026-09-12T12:07:52.219446196Z  transfer.credited transfer_id=3206 wallet=567 balance_after=146489  [correlation_id=2ae5ec65-4bb2-44a9-9402-39b79e4abd16]
2026-09-12T12:07:52.242207031Z  transfer.declined_insufficient_funds transfer_id=3206  [correlation_id=2ae5ec65-4bb2-44a9-9402-39b79e4abd16]
2026-09-12T12:07:52.244520837Z  transfer.debited transfer_id=3246 wallet=567 balance_after=73762  [correlation_id=cd8b6067-9a2f-418f-b91f-0f1703586870]
2026-09-12T12:07:52.245155282Z  transfer.credited transfer_id=3246 wallet=571 balance_after=42526  [correlation_id=cd8b6067-9a2f-418f-b91f-0f1703586870]
